halton_result,mtwister_result,squares_result,pcg_result,xoshiro_result
0.407000007629395,0.13350004196167,0.197999992370606,0.145500030517578,0.135499992370606
0.407000007629395,0.131499996185303,0.200000038146973,0.145500030517578,0.134499969482422
0.407500019073486,0.132000007629395,0.199000015258789,0.145000019073486,0.13350004196167
0.405999984741211,0.13350004196167,0.197999992370606,0.144500007629395,0.135499992370606
0.4025,0.131499996185303,0.198500003814697,0.144500007629395,0.134499969482422
0.405999984741211,0.131499996185303,0.197999992370606,0.143999996185303,0.135499992370606
0.406499996185303,0.130499973297119,0.197999992370606,0.143499984741211,0.132500019073486
0.407500019073486,0.133000030517578,0.198500003814697,0.145500030517578,0.134999980926514
0.407500019073486,0.133000030517578,0.199500026702881,0.145500030517578,0.137000026702881
0.406499996185303,0.133000030517578,0.199500026702881,0.145500030517578,0.134499969482422
0.407500019073486,0.131499996185303,0.199500026702881,0.144500007629395,0.136000003814697
0.405499973297119,0.132500019073486,0.200999965667725,0.142999973297119,0.13350004196167
0.407000007629395,0.133000030517578,0.199000015258789,0.149000015258789,0.136500015258789
0.407500019073486,0.132000007629395,0.199000015258789,0.14600004196167,0.133000030517578
0.404000034332275,0.132500019073486,0.200000038146973,0.143999996185303,0.134999980926514
0.405499973297119,0.13350004196167,0.199000015258789,0.145000019073486,0.136500015258789
0.405999984741211,0.132000007629395,0.200000038146973,0.146999969482422,0.13350004196167
0.405999984741211,0.132500019073486,0.199500026702881,0.145000019073486,0.136000003814697
0.407500019073486,0.13350004196167,0.197999992370606,0.142999973297119,0.132500019073486
0.405999984741211,0.931500091552734,0.198500003814697,0.145000019073486,0.133000030517578
0.407500019073486,0.133000030517578,0.198500003814697,0.145500030517578,0.13350004196167
0.408000030517578,0.130499973297119,0.199500026702881,0.14600004196167,0.135499992370606
0.405999984741211,0.132000007629395,0.196999969482422,0.143999996185303,0.136500015258789
0.407500019073486,0.132500019073486,0.200499954223633,0.14600004196167,0.134499969482422
0.404999961853027,0.132000007629395,0.197999992370606,0.145500030517578,0.136000003814697
0.407000007629395,0.132000007629395,0.200000038146973,0.144500007629395,0.133000030517578
0.407000007629395,0.132500019073486,0.200000038146973,0.142999973297119,0.136500015258789
0.404000034332275,0.132000007629395,0.199000015258789,0.144500007629395,0.13350004196167
0.405499973297119,0.133000030517578,0.198500003814697,0.143499984741211,0.134999980926514
0.405999984741211,0.133000030517578,0.200000038146973,0.145000019073486,0.13399995803833
0.405499973297119,0.131499996185303,0.200000038146973,0.144500007629395,0.13399995803833
0.407500019073486,0.132000007629395,0.200000038146973,0.145500030517578,0.135499992370606
0.405999984741211,0.133000030517578,0.200499954223633,0.144500007629395,0.137000026702881
0.407500019073486,0.131499996185303,0.198500003814697,0.145000019073486,0.135499992370606
0.408000030517578,0.132000007629395,0.198500003814697,0.144500007629395,0.134499969482422
0.404000034332275,0.131499996185303,0.199000015258789,0.14649995803833,0.136500015258789
0.408000030517578,0.132000007629395,0.199000015258789,0.14600004196167,0.135499992370606
0.405999984741211,0.131499996185303,0.198500003814697,0.143999996185303,0.13399995803833
0.407000007629395,0.132500019073486,0.198500003814697,0.145000019073486,0.135499992370606
0.407000007629395,0.132000007629395,0.197999992370606,0.147499980926514,0.134999980926514
0.404000034332275,0.133000030517578,0.200499954223633,0.143499984741211,0.13399995803833
0.405499973297119,0.132500019073486,0.198500003814697,0.143499984741211,0.134999980926514
0.405999984741211,0.131499996185303,0.199000015258789,0.147499980926514,0.13399995803833
0.405999984741211,0.133000030517578,0.199500026702881,0.145500030517578,0.135499992370606
0.407500019073486,0.132500019073486,0.197499980926514,0.145000019073486,0.136000003814697
0.405999984741211,0.132000007629395,0.200000038146973,0.145000019073486,0.134999980926514
0.407500019073486,0.133000030517578,0.200000038146973,0.144500007629395,0.133000030517578
0.407500019073486,0.133000030517578,0.200000038146973,0.144500007629395,0.134999980926514
0.405999984741211,0.131499996185303,0.197999992370606,0.14600004196167,0.136500015258789
0.407000007629395,0.132500019073486,0.200000038146973,0.145000019073486,0.13350004196167
0.405999984741211,0.932000007629395,0.199500026702881,0.147499980926514,0.135499992370606
0.407000007629395,0.13350004196167,0.197999992370606,0.143499984741211,0.134999980926514
0.404500045776367,0.133000030517578,0.198500003814697,0.143999996185303,0.13399995803833
0.404500045776367,0.132500019073486,0.197999992370606,0.145500030517578,0.134999980926514
0.405499973297119,0.134499969482422,0.197999992370606,0.14600004196167,0.13399995803833
0.405999984741211,0.133000030517578,0.200499954223633,0.144500007629395,0.135499992370606
0.405999984741211,0.133000030517578,0.198500003814697,0.143499984741211,0.136000003814697
0.407500019073486,0.133000030517578,0.199000015258789,0.14600004196167,0.134999980926514
0.405999984741211,0.132500019073486,0.199500026702881,0.145000019073486,0.133000030517578
0.407500019073486,0.13350004196167,0.197499980926514,0.144500007629395,0.134999980926514
0.408000030517578,0.132000007629395,0.200000038146973,0.144500007629395,0.136500015258789
0.405999984741211,0.133000030517578,0.200000038146973,0.143499984741211,0.13350004196167
0.407500019073486,0.13350004196167,0.200000038146973,0.143999996185303,0.136000003814697
0.404999961853027,0.131499996185303,0.197999992370606,0.143499984741211,0.132500019073486
0.407000007629395,0.133000030517578,0.200000038146973,0.145000019073486,0.133000030517578
0.405499973297119,0.133000030517578,0.199000015258789,0.145500030517578,0.133000030517578
0.405499973297119,0.133000030517578,0.197999992370606,0.145500030517578,0.132500019073486
0.40850004196167,0.133000030517578,0.201999988555908,0.145000019073486,0.13350004196167
0.408000030517578,0.133000030517578,0.198500003814697,0.143999996185303,0.134499969482422
0.407500019073486,0.132000007629395,0.197999992370606,0.145500030517578,0.136000003814697
0.404999961853027,0.133000030517578,0.197999992370606,0.14600004196167,0.133000030517578
0.407000007629395,0.13350004196167,0.198500003814697,0.145000019073486,0.134999980926514
0.404500045776367,0.132000007629395,0.199000015258789,0.145000019073486,0.133000030517578
0.408000030517578,0.133000030517578,0.200000038146973,0.144500007629395,0.13350004196167
0.407500019073486,0.13350004196167,0.200000038146973,0.145000019073486,0.135499992370606
0.404500045776367,0.132000007629395,0.199000015258789,0.142499961853027,0.134499969482422
0.40850004196167,0.133000030517578,0.198500003814697,0.143499984741211,0.136000003814697
0.405499973297119,0.133000030517578,0.200000038146973,0.145500030517578,0.134499969482422
0.407500019073486,0.133000030517578,0.200000038146973,0.145500030517578,0.134999980926514
0.405999984741211,0.133000030517578,0.200000038146973,0.145000019073486,0.13350004196167
0.404000034332275,0.130499973297119,0.200499954223633,0.144500007629395,0.13350004196167
0.40850004196167,0.932000007629395,0.198500003814697,0.145500030517578,0.134999980926514
0.408000030517578,0.132500019073486,0.198500003814697,0.145000019073486,0.13399995803833
0.408000030517578,0.131499996185303,0.201499977111816,0.147499980926514,0.135499992370606
0.408000030517578,0.133000030517578,0.199500026702881,0.143999996185303,0.134499969482422
0.406499996185303,0.131499996185303,0.197999992370606,0.143499984741211,0.133000030517578
0.40850004196167,0.131499996185303,0.197999992370606,0.147499980926514,0.13399995803833
0.407500019073486,0.133000030517578,0.200499954223633,0.145500030517578,0.135499992370606
0.407500019073486,0.131499996185303,0.198500003814697,0.144500007629395,0.137000026702881
0.405999984741211,0.130999984741211,0.198500003814697,0.143999996185303,0.134499969482422
0.405999984741211,0.132500019073486,0.200000038146973,0.147499980926514,0.136000003814697
0.406499996185303,0.132500019073486,0.197499980926514,0.14600004196167,0.133000030517578
0.406499996185303,0.130999984741211,0.200000038146973,0.145000019073486,0.136500015258789
0.408000030517578,0.132500019073486,0.200499954223633,0.14600004196167,0.13350004196167
0.404999961853027,0.132500019073486,0.200000038146973,0.143499984741211,0.134999980926514
0.406499996185303,0.130999984741211,0.200000038146973,0.145500030517578,0.13399995803833
0.445500030517578,0.132500019073486,0.201999988555908,0.14600004196167,0.13399995803833
0.447999992370606,0.131499996185303,0.199000015258789,0.145000019073486,0.135499992370606
0.445000019073486,0.130499973297119,0.200000038146973,0.144500007629395,0.137000026702881
0.443999996185303,0.133000030517578,0.199000015258789,0.144500007629395,0.135499992370606
0.446999969482422,0.130999984741211,0.199000015258789,0.143999996185303,0.134499969482422
0.446999969482422,0.132000007629395,0.200000038146973,0.145000019073486,0.13350004196167
0.444500007629395,0.132500019073486,0.198500003814697,0.145500030517578,0.13350004196167
0.446999969482422,0.131499996185303,0.198500003814697,0.144500007629395,0.134499969482422
0.447499980926514,0.132500019073486,0.197999992370606,0.145000019073486,0.136000003814697
0.443999996185303,0.132500019073486,0.200499954223633,0.143499984741211,0.134499969482422
0.443999996185303,0.130999984741211,0.199000015258789,0.143999996185303,0.133000030517578
0.446999969482422,0.132500019073486,0.200000038146973,0.142999973297119,0.13399995803833
0.446999969482422,0.133000030517578,0.200000038146973,0.144500007629395,0.135499992370606
0.445000019073486,0.130499973297119,0.197499980926514,0.145500030517578,0.137000026702881
0.44649995803833,0.130499973297119,0.199000015258789,0.145000019073486,0.13399995803833
0.447499980926514,0.133000030517578,0.200499954223633,0.145500030517578,0.136000003814697
0.443499984741211,0.932499923706055,0.200000038146973,0.145000019073486,0.133000030517578
0.443499984741211,0.132000007629395,0.200000038146973,0.143999996185303,0.134999980926514
0.446999969482422,0.132000007629395,0.197999992370606,0.143999996185303,0.13350004196167
0.44649995803833,0.132000007629395,0.200000038146973,0.145500030517578,0.13350004196167
0.446999969482422,0.131499996185303,0.199000015258789,0.145500030517578,0.136500015258789
0.444500007629395,0.132500019073486,0.197999992370606,0.14649995803833,0.133000030517578
0.447499980926514,0.130999984741211,0.198500003814697,0.145500030517578,0.136000003814697
0.445000019073486,0.131499996185303,0.197999992370606,0.144500007629395,0.13350004196167
0.443999996185303,0.133000030517578,0.197999992370606,0.144500007629395,0.136500015258789
0.446999969482422,0.131499996185303,0.200499954223633,0.143499984741211,0.133000030517578
0.44649995803833,0.130999984741211,0.198500003814697,0.145000019073486,0.134999980926514
